id,release,source,start,end,closed,first_paid,feed,feed_before,feed_after,rows,sold,units_paid_orders,products,outside_before,outside_after,pending,hero,count,channels,channels_direct_spread,trail,waterfall,paid_units,paid_channel,framing,close,close_pct_units,hero_projected,no_event,no_event_high,disagreement
christian_rex_van_minnen_gn_bearish_2021_q4,Christian Rex van Minnen · GN Bearish · 2021 Q4,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
christian_rex_van_minnen_hello_fren_2021_q4,Christian Rex van Minnen · Hello Fren · 2021 Q4,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
christian_rex_van_minnen_multiple_2023_q2,Christian Rex van Minnen · Multiple · 2023 Q2,orders,2026-06-26,2026-09-24,False,,0,25.0,0,,0.0,0.0,,25.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
christian_rex_van_minnen_rare_hero_2021_q4,Christian Rex van Minnen · Rare Hero · 2021 Q4,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
christian_rex_van_minnen_the_expert_2021_q4,Christian Rex van Minnen · The Expert · 2021 Q4,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
christian_rex_van_minnen_very_thick_avatar_2021_q4,Christian Rex van Minnen · Very Thick Avatar · 2021 Q4,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
christian_rex_van_minnen_very_thin_avatar_2021_q4,Christian Rex van Minnen · Very Thin Avatar · 2021 Q4,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
cindy_sherman_untitled_2026_q2,Cindy Sherman · Untitled · 2026 Q2,orders,2026-04-30,2026-06-12,True,2026-05-13,493.0,0,2.0,493.0,493.0,493.0,493.0,0.0,2.0,0.0,493.0,493.0,493.0,492.8,492.99,,45.9,45.9,493.0,,,,0.0,False,
claire_tabouret_paysage_d_int_rieur_printemps_2024_q4,Claire Tabouret · Paysage d’Intérieur (printemps) · 2024 Q4,orders,2024-11-01,2024-12-13,True,2024-11-01,46.0,0,4.0,,46.0,46.0,,0.0,4.0,0.0,46.0,46.0,46.0,46.0,46.0,,0.0,0.0,46.0,,,,0.0,False,
clayton_schiff_visitor_2022_q3,Clayton Schiff · Visitor · 2022 Q3,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
cleon_peterson_multiple_2022_q2,Cleon Peterson · Multiple · 2022 Q2,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
cristina_de_miguel_tentacular_thinking_2024_q3,Cristina de Miguel · Tentacular Thinking · 2024 Q3,orders,2024-07-22,2024-09-06,True,2024-08-09,4.0,0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,,0.0,0.0,4.0,,,,0.0,False,
cristina_de_miguel_two_figures_in_the_wind_2022_q2,Cristina de Miguel · Two figures in the wind · 2022 Q2,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
cui_jie_shanghai_federation_of_industry_commerce_building_2023_q4,Cui Jie · Shanghai Federation of Industry & Commerce Building · 2023 Q4,orders,2026-06-26,2026-09-24,False,,0,13.0,0,,0.0,0.0,,13.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
dada_khanyisa_i_can_t_change_even_if_i_tried_2023_q1,"Dada Khanyisa · I can't change, even if I tried · 2023 Q1",orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
daniel_crews_chubb_immortal_ii_turquoise_2023_q1,Daniel Crews-Chubb · Immortal II (turquoise) · 2023 Q1,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
danielle_mckinney_dream_catcher_2023_q1,Danielle Mckinney · Dream Catcher · 2023 Q1,orders,2026-06-26,2026-09-24,False,,0,30.0,0,,0.0,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
danielle_mckinney_shelter_2024_q3,Danielle Mckinney · Shelter · 2024 Q3,orders,2024-08-07,2024-09-13,True,2024-08-20,97.0,0,5.0,97.0,97.0,97.0,97.0,0.0,5.0,0.0,97.0,97.0,96.9,96.9,97.0,,0.0,0.0,97.0,,,,0.0,False,
danielle_orchard_a_warm_garden_2023_q2,Danielle Orchard · A Warm Garden · 2023 Q2,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
darren_romanelli_cactus_man_vessel_2022_q1,Darren Romanelli · Cactus Man Vessel · 2022 Q1,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
drift_proto_nature_i_2026_q1,DRIFT · Proto Nature I · 2026 Q1,orders,2026-02-06,2026-03-21,True,2026-02-25,18.0,0,4.0,18.0,18.0,18.0,18.0,0.0,4.0,0.0,18.0,18.0,18.0,18.0,18.0,,0.0,0.0,,,,,0.0,False,
drift_sine_2022_q3,DRIFT · Sine · 2022 Q3,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
