campaign_code,Date,Profile name,Profile followers,Platform,Content type,Media type,Labels,Total impressions,Total reach,Engagements,Total likes,Total comments,Total shares,Saves,Media views,Exits,Taps forward,Taps back,Completion rate,Video view count,Content ID
Parra_LE_26,2026-07-27 14:00:02,Avant Arte,13488,twitter,post,photo,Edition;Parra_LE_26,671,,58,5,0,0,,,,,,,,2081741405907734733
AhmedM_Salam_26,2026-07-27 14:04:51,Avant Insiders,72739,instagram,story,photo,AhmedM_Salam_26;Edition,903,720,0,,0,1,,903,69,320,31,0.53488374,,17949564189213297
AhmedM_Salam_26,2026-07-27 14:03:53,Avant Arte,2914074,instagram,story,photo,AhmedM_Salam_26;Edition,7882,6926,0,,0,3,,7882,583,5187,165,0.24701852,,17908291467442688
Abdulnasser_LE_26,2026-07-27 14:02:10,Avant Insiders,72739,instagram,story,photo,Abdulnasser_LE_26;Edition,612,513,0,,0,0,,612,59,373,11,0.2761438,,18332044822262258
Abdulnasser_LE_26,2026-07-27 14:00:57,Avant Arte,2914074,instagram,story,photo,Abdulnasser_LE_26;Edition,9084,8028,1,,1,1,,9084,888,5325,54,0.31010568,,18100358951237707
Abdulnasser_LE_26,2026-07-27 14:00:02,Avant Insiders,72738,instagram,post,carousel,Abdulnasser_LE_26;Edition,2595,1024,33,27,0,2,3,2595,,,,,,18007256993951053
Abdulnasser_LE_26,2026-07-27 13:00:01,Avant Arte,13488,twitter,post,photo,Abdulnasser_LE_26;Edition,966,,61,8,1,3,,,,,,,,2081726299832504436
Abdulnasser_LE_26,2026-07-27 14:00:01,Avant Arte,2914074,instagram,post,carousel,Abdulnasser_LE_26;Edition,176648,71234,1755,1341,22,145,226,176648,,,,,,18211567549342310
JamesJean_Blossom_26,2026-07-24 16:00:01,Avant Arte,13489,twitter,post,photo,Edition;JamesJean_Blossom_26,700,,38,4,0,0,,,,,,,,2080684435263902108
JamesJean_Blossom_26,2026-07-24 16:59:32,Avant Arte,2913414,instagram,story,photo,Edition;JamesJean_Blossom_26,5857,5061,0,,0,1,,5857,722,3839,156,0.1946389,,18136731448517063
Parra_LE_26,2026-07-24 14:59:36,Avant Arte,2913410,instagram,story,photo,Edition;Parra_LE_26,10212,7733,2,,2,7,,10212,394,3554,118,0.601841,,18063622733571285
PietMondrian_LE_26,2026-07-24 14:05:02,Avant Insiders,72733,instagram,post,carousel,Edition;PietMondrian_LE_26,6457,2584,155,120,9,20,5,6457,,,,,,18157149880470219
PietMondrian_LE_26,2026-07-24 14:02:05,Avant Insiders,72734,instagram,story,photo,Edition;PietMondrian_LE_26,340,279,0,,0,1,,340,54,201,30,0.16176471,,18427732366133359
PietMondrian_LE_26,2026-07-24 14:01:54,Avant Insiders,72734,instagram,story,photo,Edition;PietMondrian_LE_26,367,296,0,,0,0,,367,20,264,30,0.14441417,,18107938400473018
PietMondrian_LE_26,2026-07-24 14:01:35,Avant Insiders,72734,instagram,story,photo,Edition;PietMondrian_LE_26,444,357,0,,0,0,,444,46,257,3,0.3108108,,18105413993147344
PietMondrian_LE_26,2026-07-24 13:00:03,Avant Arte,13488,twitter,post,photo,Edition;PietMondrian_LE_26,548,,26,5,0,0,,,,,,,,2080639144553046490
