campaign_name,spend_date,impressions,reach,link_clicks,spend
AhmedM_Salam_26 · Enter draw,2026-08-17,0,0,0,0
Inventory_Test_26,2026-08-17,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-17,339780,306756,3841,2398.41
JaumePlen_LE_26 · Enter draw,2026-08-17,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-17,46907,41280,396,153.84
PietMondrian_LE_26 · Enter draw,2026-08-17,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-17,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-17,18561,16655,190,115.58
ZengFanzhi_TL_26 · Enter draw,2026-08-17,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-16,57743,51583,800,486.55
AhmedM_Salam_26 · Enter draw,2026-08-16,0,0,0,0
Inventory_Test_26,2026-08-16,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-16,306413,276367,3789,2100.3
JaumePlen_LE_26 · Enter draw,2026-08-16,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-16,22272,20509,577,97.64
PietMondrian_LE_26 · Enter draw,2026-08-16,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-16,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-16,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-08-16,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-15,14313,13111,375,65.97
AhmedM_Salam_26 · Enter draw,2026-08-15,0,0,0,0
Inventory_Test_26,2026-08-15,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-15,281887,260784,3731,1991.97
JaumePlen_LE_26 · Enter draw,2026-08-15,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-15,139683,125264,1380,830.72
PietMondrian_LE_26 · Enter draw,2026-08-15,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-15,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-15,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-08-15,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-14,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-08-14,0,0,0,0
Inventory_Test_26,2026-08-14,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-14,208488,188348,2470,1594.83
JaumePlen_LE_26 · Enter draw,2026-08-14,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-14,20186,18279,570,141.33
PietMondrian_LE_26 · Enter draw,2026-08-14,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-14,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-14,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-08-14,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-13,53339,47786,421,456.45
AhmedM_Salam_26 · Enter draw,2026-08-13,0,0,0,0
Inventory_Test_26,2026-08-13,3736,3560,61,42.13
JamesJean_Blossom_26 · Enter draw,2026-08-13,211264,194923,2489,1466.23
JaumePlen_LE_26 · Enter draw,2026-08-13,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-13,23497,20814,613,143.5
